Date,Open,High,Low,Close,Adj Close,Volume
2010-11-04,291.0,344.8999938964844,291.0,342.54998779296875,142.83445739746094,479716245.0
2010-11-08,351.79998779296875,355.8999938964844,329.5,330.75,137.91419982910156,46932779.0
2010-11-09,330.1499938964844,333.3999938964844,325.0,326.04998779296875,135.9543914794922,23741956.0
2010-11-10,325.3999938964844,327.79998779296875,320.04998779296875,322.79998779296875,134.59925842285156,21057129.0
2010-11-11,323.0,336.95001220703125,321.8500061035156,328.54998779296875,136.99681091308594,26548372.0
2010-11-12,330.0,332.95001220703125,318.0,320.1499938964844,133.49424743652344,15004107.0
2010-11-15,321.20001220703125,322.8999938964844,315.04998779296875,317.20001220703125,132.26417541503906,9917395.0
2010-11-16,320.0,323.95001220703125,316.1000061035156,318.04998779296875,132.6186065673828,12100114.0
2010-11-18,319.6000061035156,328.95001220703125,310.0,326.8999938964844,136.30882263183594,23983896.0
2010-11-19,330.25,339.95001220703125,328.1000061035156,333.54998779296875,139.08168029785156,51723739.0
2010-11-22,336.0,337.0,315.0,333.3500061035156,138.99830627441406,11494521.0
2010-11-23,330.5,332.3999938964844,317.5,320.1499938964844,133.49424743652344,13147667.0
2010-11-24,329.3500061035156,329.3500061035156,310.0,310.79998779296875,129.59555053710938,16243562.0
2010-11-25,314.0,318.3500061035156,311.1000061035156,313.20001220703125,130.5962677001953,6489260.0
2010-11-26,315.0,316.0,301.0,312.70001220703125,130.38778686523438,13657322.0
2010-11-29,311.3999938964844,319.70001220703125,308.20001220703125,317.45001220703125,132.368408203125,6493219.0
2010-11-30,315.0,319.0,312.0,317.25,132.28500366210938,6050064.0
2010-12-01,317.0,322.5,315.0,320.95001220703125,133.8278350830078,5053942.0
2010-12-02,322.20001220703125,325.95001220703125,321.1499938964844,324.8500061035156,135.4540557861328,6143344.0
2010-12-03,318.1000061035156,325.70001220703125,318.1000061035156,321.95001220703125,134.2447967529297,2453815.0
2010-12-06,321.0,324.8999938964844,318.5,320.3999938964844,133.59849548339844,2895539.0
2010-12-07,320.5,322.75,317.25,320.0,133.4316864013672,3484977.0
2010-12-08,318.6000061035156,322.70001220703125,317.25,318.8500061035156,132.9521942138672,2877153.0
2010-12-09,318.0,320.0,309.0,313.20001220703125,130.5962677001953,5313081.0
2010-12-10,312.0,322.0,312.0,317.29998779296875,132.30589294433594,5799900.0
2010-12-13,318.0,324.3500061035156,317.0,323.1499938964844,134.7451629638672,2809522.0
2010-12-14,324.45001220703125,331.0,322.75,325.29998779296875,135.6416473388672,7075931.0
2010-12-15,325.6000061035156,330.0,323.0,327.8500061035156,136.70497131347656,5380352.0
2010-12-16,326.75,327.0,317.3999938964844,320.70001220703125,133.7235870361328,2893052.0
2010-12-20,323.0,323.0,315.04998779296875,316.0,131.76380920410156,2905355.0
2010-12-21,318.79998779296875,318.79998779296875,311.20001220703125,313.29998779296875,130.6379852294922,4427901.0
2010-12-22,315.1000061035156,319.70001220703125,312.70001220703125,314.04998779296875,130.95071411132812,5425074.0
2010-12-23,315.04998779296875,315.95001220703125,312.0,312.95001220703125,130.49205017089844,3326534.0
2010-12-24,313.0,313.8999938964844,310.1000061035156,312.1499938964844,130.15843200683594,1859093.0
2010-12-27,312.1499938964844,314.29998779296875,306.5,307.29998779296875,128.13612365722656,5273320.0
2010-12-28,308.0,309.95001220703125,301.0,303.75,126.6558609008789,8055446.0
